WRM Electrical Spare List ,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,,Unit,Qty (01.02.24),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,MLFB No.,Unit,Qty (01.02.24),Used Location,Capacity,Storage Location,Type,,,,,,,,,,
1,1000357758,"AI MODULE; 8CH, 6ES74311KF200AB0,24VDC",,PC,3,,,,,,,,,,,,,,
1A,1000180279,"AO MODULE, 8CH, PN:6ES7-432-1HF00-0AB0",,PC,3,,,,,,,,,,,,,,
2,1000195795,"DO MODULE, 16CH",,PC,3,,,,,,,,,,,,,,
3,1000180281,"DO MODULE, 32CH,PN:6ES7-422-1BL00-0AA0",,PC,5,,,,,,,,,,,,,,
4,1000180282,"DI MODULE , 32CH, PN:6ES7-421-1BL01-0AA0",,PC,3,,,,,,,,,,,,,,
5,1000195794,"DI MODULE, 16CH",,PC,2,,,,,,,,,,,,,,
6,1000180284,IM MODULE (RECEIVER) -NOT IN USE,,PC,1,,,,,,,,,,,,,,
7,1000180285,IM MODULE (TRANSMITTER) -NOT IN USE,,PC,1,,,,,,,,,,,,,,
8,1000357441,"FM MODULE;FM-450, 24VDC,PN:6ES7450-1AP00-0AE0",,PC,1,,,,,,,,,,,,,,
9,1000097311,"CP 443-1EX30B MODULE; 24VDC,PN:6ES7450-1AP00-0AE0",,PC,1,,,,,,,,,,,,,,
10,1000331303,CP 443-5 MODULE; 24VDC,,PC,3,,,,,,,,,,,,,,
11,,CP-443-1EX20 6GK7443-1EX20-0XE0,,PC,1,,,,,,,,,,,,,,
12,1000180286,POWER MODULE PS407,,PC,2,,,,,,,,,,,,,,
13,1000195793,CPU 416-2DP,,PC,1,,,,,,,,,,,,,,
14,1000144013,"FRONT CONNECTOR,S7-400,6ES74921AL000AA0",,PC,5,,,,,,,,,,,,,,
15,1000346006,CPU 313C-2DP;PN:6ES7313-6CF03-0AB0,,PC,1,,,,,,,,,,,,,,
16,1000197900,"CPU 317-2, PN:6ES7-317-2EK13-0AB0",,PC,1,,,,,,,,,,,,,,
16A,1000368322,"CPU 317-2, PN:6ES7-317-2EK14-0AB0",,PC,1,,,,,,,,,,,,,,
17,1000224145,CPU 2AH14,,PC,2,,,,,,,,,,,,,,
18,1000309578,CP343-1 MODULE;6GK73431CX10-0XE0 (RSM_CC),,PC,2,,,,,,,,,,,,,,
19,1000177464,OLM MODULE;6GK73431CX10-0XE0,,PC,1,,,,,,,,,,,,,,
20,1000057834,"DP/DP COUPLER MODULE,MM:6ES7158-0AD01-0XA0",,PC,3,,,,,,,,,,,,,,
21,1000147013,"POSITION INPUT MODULE,SIGNAL,MM:6ES7338-4BC01-0AB0",,PC,2,,,,,,,,,,,,,,
22,1000272424,"FM COUNTER MODULE;FM-350-2, 6ES73502AH010AE0",,PC,6,,,,,,,,,,,,,,
23,1000200425,ALLEN BRADLEY PLC (LAYING HEAD),,PC,2,,,,,,,,,,,,,,
24,1000238802,"DIGITAL INPUT OUTPUT MODULE,PN:6ED1 055-1NB10-0BA0",,PC,1,,,,,,,,,,,,,,
25,,ESM_Electrical Switch Module,,PC,2,,,,,,,,,,,,,,
26,1000267014,"SMPS,I/P-230VAC,O/P-12V , 2A",,PC,1,,,,,,,,,,,,,,
27,1000234750,"DVP-14SS MODULE,PWR SUPPLY,100-240VAC,MM:DVPPS02",,PC,2,,,,,,,,,,,,,,
28,1000195843,"BUS MODULE 2*40, ET200M,PN:6ES71957HB000XA0",,PC,10,,,,,,,,,,,,,,
29,1000195991,"BUS MODULE 1*80, I/O MODULE,PN:6ES71957HC000XA0",,PC,7,,,,,,,,,,,,,,
30,1000195842,"BUS MODULE PS/IM 153, 6ES71957HA000XA0",,PC,9,,,,,,,,,,,,,,
31,,Memory Cart (Different Types),,PC,NA,,,,,,,,,,,,,,
32,,BATTERY for CPU 6ES7971-0BA00,,PC,17,,,,,,,,,,,,,,
33,1000198101,"ANYBUS GATEWAY-CANOPEN TO PROFIBUS,24VDC",,PC,1,,,,,,,,,,,,,,
34,,MAIN PLC WITH RACK (Furnace),,PC,1,,,,,,,,,,,,,,
35,,,,PC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1000181818,"SITOP POWER SUPPLY, 6EP1-336-2BA00 , 24VDC,20A",,PC,1,,,,,,,,,,,,,,
2,1000014382,"SITOP POWER SUPPLY, 6EP1-336-3BA00, 24VDC,20A",,PC,2,,,,,,,,,,,,,,
3,1000014380,"SITOP POWER SUPPLY, 6EP1-334-3BA00, 24VDC,10A",,PC,5,,,,,,,,,,,,,,
4,1000014383,"SITOP POWER SUPPLY, 6EP1-334-2AA01, 24VDC, A",,PC,2,,,,,,,,,,,,,,
5,1000445441,"SITOP POWER SUPPLY, 6EP1-334-2BA20, 24VDC,10A",,PC,5,,,,,,,,,,,,,,
6,1000195844,"SITOP POWER SUPPLY, 6EP1-333-3BA10, 24VDC,5A",,PC,4,,,,,,,,,,,,,,
7,1000197906,"SITOP POWER SUPPLY, 6EP1-333-2AA01, 24VDC,5A",,PC,6,,,,,,,,,,,,,,
8,1000138637,"POWER SUPPLY MODULE,PS 307,6ES7-307-1KA02-0AA0,24V,10A",,PC,3,,,,,,,,,,,,,,
9,,"POWER SUPPLY MODULE,PS 307,6ES7-307-1EA00-0AA0,24V,5A",,PC,2,,,,,,,,,,,,,,
10,1000138637,"POWER SUPPLY MODULE,PS 307,6ES7-307-1KA01-0AA0,24V,10A",,PC,1,,,,,,,,,,,,,,
11,,"POWER SUPPLY MODULE,PS 307,6ES7-307-1BA00-0AA0,24V,2A",,PC,1,,,,,,,,,,,,,,
12,1000014629,"DI MODULE, 32CH, 6ES7-321-1BL00-0AA0",,PC,8,,,,,,,,,,,,,,
13,1000050427,"DI MODULE, 16CH, 6ES7-321-1BH02-0AA0",,PC,9,,,,,,,,,,,,,,
14,1000014630,"DO MODULE, 32CH, 6ES7322-1BL00-OAAO",,PC,3,,,,,,,,,,,,,,
15,1000097683,"DO MODULE, 16CH, 6ES7-322-1BH01-0AA0",,PC,8,,,,,,,,,,,,,,
16,1000097685,"DI MODULE, 16CH X REL.AC230V, 6ES7 322 1HH01 OAAO",,PC,5,,,,,,,,,,,,,,
17,1000097684,"D0 MODULE ,8CH, 6ES7-322-1BF01-0AA0",,PC,2,,,,,,,,,,,,,,
18,1000197904,"DO MODULE, 8CH X REL.AC230V, 6ES7-322-1HF01-0AA0",,PC,5,,,,,,,,,,,,,,
19,1000180276,"AI MODULE, 8CH X 13BIT, 6ES7-331-1KF02-0AB0",,PC,12,,,,,,,,,,,,,,
20,1000431291,"AI MODULE, 8CH, THERMOCOUPLE, 6ES7-331-7PF11-0AB0",,PC,8,,,,,,,,,,,,,,
20A,1000098236/ 1000254774,"AI MODULE, 8CH, 6ES7-331-7KF02-0AB0",,PC,6,,,,,,,,,,,,,,
20B,1000180276,"AI MODULE, 8CH, 6ES7-331-1KF01-0AB0",,PC,1,,,,,,,,,,,,,,
21,1000098237,"AO MODULE, 4CH X 12BIT, 6ES7-332-5HD01-0AB0",,PC,11,,,,,,,,,,,,,,
22,1000195993,"AO MODULE, 8CH X 12BIT, 6ES7-332-5HF00-0AB0",,PC,5,,,,,,,,,,,,,,
23,,"INTERFACE MODULE (IM), 6ES7-153-2BA10-0XB0",,PC,6,,,,,,,,,,,,,,
24,1000195735,"INTERFACE MODULE (IM), 6ES7-153-2BA02-0XB0",,PC,2,,,,,,,,,,,,,,
24A,1000057833,"INTERFACE MODULE (IM), 6ES7-153-1AA03-0XB0",,PC,11,,,,,,,,,,,,,,
25,1000195940,"FRONT CONNECTOR FOR CARD, 6ES7-392-1AM00-0AA0",,PC,6,,,,,,,,,,,,,,
25A,1000014485,"FRONT CONNECTOR FOR CARD, 6ES7-392-1AJ00-0AA0",,PC,1,,,,,,,,,,,,,,
26,,"OPTICAL FIBER CONNECTOR, DFCUSTXMPR09,0.9MM",,PC,10,,,,,,,,,,,,,,
27,,"OPTICAL FIBER ADAPTOR, DFADSTTYPXPM",,PC,10,,,,,,,,,,,,,,
28,1000195799,"OBT, PN:6GK1500-3AA10",,PC,6,,,,,,,,,,,,,,
29,1000253135,"REPEATER, RS485, 6ES7-972-0AA02-0XA0",,PC,4,,,,,,,,,,,,,,
30,1000253137,"PROFIBUS CONNECTOR,MM:6ES7972-0BB52-0XA0",,PC,13,,,,,,,,,,,,,,
31,1000195733,"PROFIBUS CONNECTOR,MM:6ES7972-0BA12-0XA0",,PC,8,,,,,,,,,,,,,,
32,1000261210,"PROFIBUS CONNECTOR,MM:6ES7972-0BB12-0XA0",,PC,42,,,,,,,,,,,,,,
33,1000180290,"PROFIBUS CONNECTOR,,MM:6ES7972-0BB41-0XA0",,PC,17,,,,,,,,,,,,,,
34,1000207410,"RELAY BOARD,8CH,1CO,24VDC,5A, PC24D08-COB",,PC,9,,,,,,,,,,,,,,
35,1000198102,"MOTION CONTROLLER-TRIM SHEAR, ABB,24VDC,50W",,PC,1,,,,,,,,,,,,,,
36,1000509087,"LAN CARD,NETWRK; PN:PRO 1000 PT",,PC,3,,,,,,,,,,,,,,
37,1000097349,"RAIL,530MM F/PLC, 6ES7-390-1AF30-0AA0",,PC,1,,,,,,,,,,,,,,
37A,1000097306,"RACK,MAIN PLC, 18 SLOT, 6ES7-400-1TA01-0AA0",,PC,1,,,,,,,,,,,,,,
38,1000253139,"RAIL,830MM F/PLC, 6ES7-390-1AJ30-0AA0",,PC,1,,,,,,,,,,,,,,
39,1000196121,"RAIL,530MM, F/PLC, 6ES7-195-1GF30-0XA0",,PC,2,,,,,,,,,,,,,,
40,1000253138,"RAIL,480MM F/PLC,MM:6ES7390-1AE80-0AA0",,PC,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,"PRESSURE GUAGE ,3 INCH, 0-10 BAR",,PC,2,,,,,,,,,,,,,,
2,1000498223,"SENSOR;220/240VAC,MN:UVS 10D1G1",,PC,0,,,,,,,,,,,,,,
3,,Timer use in hardware panel,,PC,2,,,,,,,,,,,,,,
4,1000048247,"LENS,VARIFOCAL,1/3IN,5-50MM",,PC,4,,,,,,,,,,,,,,
5,1000183279,"CAMERA,MM:HCC-690P F/CCTV",,PC,4,,,,,,,,,,,,,,
6,1000198106,"SWITCH,PROXIMITY,30MM,PN:II5829",,PC,6,,,,,,,,,,,,,,
7,1000211028,"PED SENSOR,PHOTO ELECTRIC,MM:O4H500",,PC,6,,,,,,,,,,,,,,
7A,1000198111,"PED SENSOR, PHOTO SENSOR,PN:OA0106",,PC,5,,,,,,,,,,,,,,
8,1000267014,"SMPS,I/P-230VAC,50HZ,O/P-12V DC/2A",,PC,2,,,,,,,,,,,,,,
9,1000214151,"VALVE,SOLENOID,5/2WAY,PN:5811170050",,PC,6,,,,,,,,,,,,,,
10,1000007736,"CONTROLLER,3STEP,JOYSTICK,5-0-5POS,10A",,PC,1,,,,,,,,,,,,,,
